trace,reconstruction_error,anomaly
pr saqr apo rog aos cdtdp,28.020066299297618,1
pr saqr capo cpo cv cdtdp,24.281716135216033,1
pr apo rog aos cdtdp,34.93817599689213,1
pr saqr aos cdtdp,38.04879895238194,1
pr saqr capo cdtdp,34.48023319214674,1
